finding_id,rule,file,line,matched_text,annotator_verdict,justification
grep-280552af,R01,embedded\esp32_pio\src\aes256ctr.c,17,"void dilithium_aes256ctr_init(aes256ctr_ctx *state, const uint8_t key[32], uint16_t nonce) {",FP,Symmetric key buffers do not require expansion for PQC.
grep-9d018671,R04,embedded\esp32_pio\src\aes256ctr.c,23,mbedtls_aes_init(aes);,TP,Return value of cryptographic operation unchecked.
grep-c8693f16,R04,embedded\esp32_pio\src\aes256ctr.c,24,"mbedtls_aes_setkey_enc(aes, key, 256);",TP,Return value of cryptographic operation unchecked.
grep-7050b658,R01,embedded\esp32_pio\src\aes256ctr.c,29,state->counter[14] = (uint8_t)(nonce & 0xff);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-869f84ce,R01,embedded\esp32_pio\src\aes256ctr.c,30,state->counter[15] = (uint8_t)(nonce >> 8);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-d74801b6,R04,embedded\esp32_pio\src\aes256ctr.c,39,"mbedtls_aes_crypt_ecb(aes, MBEDTLS_AES_ENCRYPT, state->counter, state->buffer);",TP,Return value of cryptographic operation unchecked.
grep-11cfd5bb,R04,embedded\esp32_pio\src\aes256ctr.c,50,mbedtls_aes_free(aes);,FP,Cleanup/free functions do not require error checking.
grep-b1d80592,R01,embedded\esp32_pio\src\aes256ctr.h,7,#define AES256CTR_BLOCKBYTES 16,FP,Symmetric key buffers do not require expansion for PQC.
grep-f99d2a5e,R01,embedded\esp32_pio\src\aes256ctr.h,16,"void aes256ctr_init(aes256ctr_ctx *state, const uint8_t key[32], uint16_t nonce);",FP,Symmetric key buffers do not require expansion for PQC.
grep-793a96d1,R05,embedded\esp32_pio\src\main.cpp,25,#define DILITHIUM_KEYPAIR DILITHIUM_NAMESPACE(keypair),TP,Algorithm-specific API call used instead of agile interface.
grep-20aa83f6,R05,embedded\esp32_pio\src\main.cpp,26,#define DILITHIUM_SIGNATURE DILITHIUM_NAMESPACE(signature),TP,Algorithm-specific API call used instead of agile interface.
grep-409ddbe8,R05,embedded\esp32_pio\src\main.cpp,27,#define DILITHIUM_VERIFY DILITHIUM_NAMESPACE(verify),TP,Algorithm-specific API call used instead of agile interface.
grep-8ca8d082,R04,embedded\esp32_pio\src\main.cpp,65,mbedtls_entropy_init(&entropy);,TP,Return value of cryptographic operation unchecked.
grep-786add17,R04,embedded\esp32_pio\src\main.cpp,66,mbedtls_ctr_drbg_init(&ctr_drbg);,TP,Return value of cryptographic operation unchecked.
grep-0aeb6b3b,R04,embedded\esp32_pio\src\main.cpp,238,mbedtls_ecdsa_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-355bcb77,R04,embedded\esp32_pio\src\main.cpp,254,mbedtls_ecdsa_free(&ctx);,FP,Cleanup/free functions do not require error checking.
grep-ac8bc37d,R01,embedded\esp32_pio\src\main.cpp,259,uint8_t hash[32] = { 0xAA };,FP,Hash/MAC buffers do not require expansion for PQC.
grep-7d6d627e,R04,embedded\esp32_pio\src\main.cpp,261,mbedtls_mpi_init(&r);,TP,Return value of cryptographic operation unchecked.
grep-19cdac65,R04,embedded\esp32_pio\src\main.cpp,262,mbedtls_mpi_init(&s);,TP,Return value of cryptographic operation unchecked.
grep-6ea5ec9d,R04,embedded\esp32_pio\src\main.cpp,293,mbedtls_mpi_free(&r);,FP,Cleanup/free functions do not require error checking.
grep-ba112667,R04,embedded\esp32_pio\src\main.cpp,294,mbedtls_mpi_free(&s);,FP,Cleanup/free functions do not require error checking.
grep-07328a87,R04,embedded\esp32_pio\src\main.cpp,295,mbedtls_ecdsa_free(&ctx);,FP,Cleanup/free functions do not require error checking.
grep-99ce6255,R04,embedded\esp32_pio\src\main.cpp,350,mbedtls_ecdh_init(&client_ctx);,TP,Return value of cryptographic operation unchecked.
grep-35119443,R04,embedded\esp32_pio\src\main.cpp,351,mbedtls_ecdh_init(&server_ctx);,TP,Return value of cryptographic operation unchecked.
grep-a121d607,R04,embedded\esp32_pio\src\main.cpp,356,mbedtls_ecdh_free(&client_ctx);,FP,Cleanup/free functions do not require error checking.
grep-f9f9e1f8,R04,embedded\esp32_pio\src\main.cpp,357,mbedtls_ecdh_free(&server_ctx);,FP,Cleanup/free functions do not require error checking.
grep-b0bf7b59,R04,embedded\esp32_pio\src\main.cpp,363,mbedtls_ecdh_free(&client_ctx);,FP,Cleanup/free functions do not require error checking.
grep-45d82d57,R04,embedded\esp32_pio\src\main.cpp,364,mbedtls_ecdh_free(&server_ctx);,FP,Cleanup/free functions do not require error checking.
grep-82b6b366,R04,embedded\esp32_pio\src\main.cpp,385,mbedtls_ecdh_free(&client_ctx);,FP,Cleanup/free functions do not require error checking.
grep-d61eb82d,R04,embedded\esp32_pio\src\main.cpp,386,mbedtls_ecdh_free(&server_ctx);,FP,Cleanup/free functions do not require error checking.
grep-208d6e7b,R04,embedded\esp32_pio\src\main.cpp,391,"mbedtls_ecdh_gen_public(&server_ctx.grp, &server_ctx.d, &server_ctx.Q, mbedtls_ctr_drbg_random, &ctr_drbg);",TP,Return value of cryptographic operation unchecked.
grep-ce7620c7,R04,embedded\esp32_pio\src\main.cpp,404,mbedtls_ecdh_free(&client_ctx);,FP,Cleanup/free functions do not require error checking.
grep-1eab5aff,R04,embedded\esp32_pio\src\main.cpp,405,mbedtls_ecdh_free(&server_ctx);,FP,Cleanup/free functions do not require error checking.
grep-7e6ad7c8,R04,embedded\esp32_pio\src\main.cpp,508,"mbedtls_rsa_init(&rsa, MBEDTLS_RSA_PKCS_V21, MBEDTLS_MD_SHA256);",TP,Return value of cryptographic operation unchecked.
grep-ec30b70a,R01,embedded\esp32_pio\src\main.cpp,511,uint8_t hash[32] = { 0xBA };,FP,Hash/MAC buffers do not require expansion for PQC.
grep-9558f46c,R01,embedded\esp32_pio\src\main.cpp,512,uint8_t sig[512] = {0};,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c0430722,R04,embedded\esp32_pio\src\main.cpp,532,mbedtls_rsa_free(&rsa);,FP,Cleanup/free functions do not require error checking.
grep-d35eb4a2,R04,embedded\esp32_pio\src\main.cpp,558,mbedtls_rsa_free(&rsa);,FP,Cleanup/free functions do not require error checking.
grep-36a72e60,R04,embedded\esp32_pio\src\main.cpp,608,"mbedtls_rsa_init(&rsa, MBEDTLS_RSA_PKCS_V21, MBEDTLS_MD_SHA256);",TP,Return value of cryptographic operation unchecked.
grep-57ce4553,R01,embedded\esp32_pio\src\main.cpp,611,uint8_t plaintext[32] = { 0xCD };,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6e650443,R01,embedded\esp32_pio\src\main.cpp,612,uint8_t ciphertext[256] = {0};,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-381d8702,R01,embedded\esp32_pio\src\main.cpp,613,uint8_t decrypted[256] = {0};,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-e6d3a077,R04,embedded\esp32_pio\src\main.cpp,635,mbedtls_rsa_free(&rsa);,FP,Cleanup/free functions do not require error checking.
grep-a057b9bd,R04,embedded\esp32_pio\src\main.cpp,664,mbedtls_rsa_free(&rsa);,FP,Cleanup/free functions do not require error checking.
grep-7d5fd4a1,R04,embedded\esp32_pio\src\main.cpp,832,"DILITHIUM_KEYPAIR(args->pk, args->sk);",TP,Return value of cryptographic operation unchecked.
grep-b4b430f6,R05,embedded\esp32_pio\src\main.cpp,832,"DILITHIUM_KEYPAIR(args->pk, args->sk);",TP,Algorithm-specific API call used instead of agile interface.
grep-2b17359a,R04,embedded\esp32_pio\src\main.cpp,851,"DILITHIUM_SIGNATURE(args->sig, args->siglen, args->msg, args->msglen, args->sk);",TP,Return value of cryptographic operation unchecked.
grep-e09facfc,R05,embedded\esp32_pio\src\main.cpp,851,"DILITHIUM_SIGNATURE(args->sig, args->siglen, args->msg, args->msglen, args->sk);",TP,Algorithm-specific API call used instead of agile interface.
grep-ddabc7e5,R05,embedded\esp32_pio\src\main.cpp,869,"int ret = DILITHIUM_VERIFY(args->sig, *args->siglen, args->msg, args->msglen, args->pk);",TP,Algorithm-specific API call used instead of agile interface.
grep-52354d54,R01,embedded\esp32_pio\src\main.cpp,886,uint8_t msg[32] = { 0x55 };,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ee875193,R01,embedded\esp32_pio\src\randombytes_esp32.c,23,uint8_t seed[32];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ace6b4f4,R04,embedded\esp32_pio\src\randombytes_esp32.c,27,mbedtls_hmac_drbg_init(&vh_drbg_ctx);,TP,Return value of cryptographic operation unchecked.
grep-cc1fb355,R01,embedded\esp32_pio\src\tiny_sha3.c,7,static const uint64_t KeccakF_RoundConstants[24] = {,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-fa54108f,R01,embedded\esp32_pio\src\tiny_sha3.c,20,static void keccak_f1600_state_permute(uint64_t state[25]) {,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-f3a3053e,R01,embedded\esp32_pio\src\tiny_sha3.c,38,aka = state[10]; ake = state[11]; aki = state[12]; ako = state[13]; aku = state[14];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-41fbf057,R01,embedded\esp32_pio\src\tiny_sha3.c,39,ama = state[15]; ame = state[16]; ami = state[17]; amo = state[18]; amu = state[19];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2abfd631,R01,embedded\esp32_pio\src\tiny_sha3.c,40,asa = state[20]; ase = state[21]; asi = state[22]; aso = state[23]; asu = state[24];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-0f5d058c,R01,embedded\esp32_pio\src\tiny_sha3.c,184,state[10] = aka; state[11] = ake; state[12] = aki; state[13] = ako; state[14] = aku;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-907164eb,R01,embedded\esp32_pio\src\tiny_sha3.c,185,state[15] = ama; state[16] = ame; state[17] = ami; state[18] = amo; state[19] = amu;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-e8c39788,R01,embedded\esp32_pio\src\tiny_sha3.c,186,state[20] = asa; state[21] = ase; state[22] = asi; state[23] = aso; state[24] = asu;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-d189b453,R04,embedded\esp32_pio\src\tiny_sha3.c,268,OQS_SHA3_sha3_256_inc_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-f19adfcc,R04,embedded\esp32_pio\src\tiny_sha3.c,269,"OQS_SHA3_sha3_256_inc_absorb(&ctx, input, inplen);",TP,Return value of cryptographic operation unchecked.
grep-700faa34,R04,embedded\esp32_pio\src\tiny_sha3.c,270,"OQS_SHA3_sha3_256_inc_finalize(output, &ctx);",TP,Return value of cryptographic operation unchecked.
grep-36b0f3a4,R04,embedded\esp32_pio\src\tiny_sha3.c,288,OQS_SHA3_sha3_512_inc_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-a19f4604,R04,embedded\esp32_pio\src\tiny_sha3.c,289,"OQS_SHA3_sha3_512_inc_absorb(&ctx, input, inplen);",TP,Return value of cryptographic operation unchecked.
grep-de5c59ee,R04,embedded\esp32_pio\src\tiny_sha3.c,290,"OQS_SHA3_sha3_512_inc_finalize(output, &ctx);",TP,Return value of cryptographic operation unchecked.
grep-7f8a6727,R04,embedded\esp32_pio\src\tiny_sha3.c,317,OQS_SHA3_shake128_inc_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-dde23434,R04,embedded\esp32_pio\src\tiny_sha3.c,318,"OQS_SHA3_shake128_inc_absorb(&ctx, input, inlen);",TP,Return value of cryptographic operation unchecked.
grep-630e4107,R04,embedded\esp32_pio\src\tiny_sha3.c,319,OQS_SHA3_shake128_inc_finalize(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-7e7cb177,R04,embedded\esp32_pio\src\tiny_sha3.c,320,"OQS_SHA3_shake128_inc_squeeze(output, outlen, &ctx);",TP,Return value of cryptographic operation unchecked.
grep-eb9d6c3f,R04,embedded\esp32_pio\src\tiny_sha3.c,347,OQS_SHA3_shake256_inc_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-909cc1a9,R04,embedded\esp32_pio\src\tiny_sha3.c,348,"OQS_SHA3_shake256_inc_absorb(&ctx, input, inlen);",TP,Return value of cryptographic operation unchecked.
grep-1193b20f,R04,embedded\esp32_pio\src\tiny_sha3.c,349,OQS_SHA3_shake256_inc_finalize(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-af82b2ff,R04,embedded\esp32_pio\src\tiny_sha3.c,350,"OQS_SHA3_shake256_inc_squeeze(output, outlen, &ctx);",TP,Return value of cryptographic operation unchecked.
grep-ab6175fb,R01,embedded\esp32_pio\src\tiny_sha3.c,365,"keccak_inc_absorb(state->s[1], &p, OQS_SHA3_SHAKE128_RATE, in1, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-9f751aa9,R01,embedded\esp32_pio\src\tiny_sha3.c,367,"keccak_inc_absorb(state->s[2], &p, OQS_SHA3_SHAKE128_RATE, in2, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-7e3f58b9,R01,embedded\esp32_pio\src\tiny_sha3.c,369,"keccak_inc_absorb(state->s[3], &p, OQS_SHA3_SHAKE128_RATE, in3, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-30fe9109,R01,embedded\esp32_pio\src\tiny_sha3.c,377,"keccak_inc_finalize(state->s[1], &p, OQS_SHA3_SHAKE128_RATE, 0x1F);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-643f8b68,R01,embedded\esp32_pio\src\tiny_sha3.c,379,"keccak_inc_finalize(state->s[2], &p, OQS_SHA3_SHAKE128_RATE, 0x1F);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c86e41f9,R01,embedded\esp32_pio\src\tiny_sha3.c,381,"keccak_inc_finalize(state->s[3], &p, OQS_SHA3_SHAKE128_RATE, 0x1F);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a2d4b407,R01,embedded\esp32_pio\src\tiny_sha3.c,389,"keccak_inc_squeeze(state->s[1], &p, OQS_SHA3_SHAKE128_RATE, out1, outlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-0e25a4ff,R01,embedded\esp32_pio\src\tiny_sha3.c,391,"keccak_inc_squeeze(state->s[2], &p, OQS_SHA3_SHAKE128_RATE, out2, outlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-047c8621,R01,embedded\esp32_pio\src\tiny_sha3.c,393,"keccak_inc_squeeze(state->s[3], &p, OQS_SHA3_SHAKE128_RATE, out3, outlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-356d09d3,R04,embedded\esp32_pio\src\tiny_sha3.c,399,OQS_SHA3_shake128_x4_inc_init(state);,TP,Return value of cryptographic operation unchecked.
grep-817b4873,R04,embedded\esp32_pio\src\tiny_sha3.c,407,OQS_SHA3_shake128_x4_inc_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-bf754461,R04,embedded\esp32_pio\src\tiny_sha3.c,408,"OQS_SHA3_shake128_x4_inc_absorb(&ctx, in0, in1, in2, in3, inlen);",TP,Return value of cryptographic operation unchecked.
grep-d2360381,R04,embedded\esp32_pio\src\tiny_sha3.c,409,OQS_SHA3_shake128_x4_inc_finalize(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-6b771e0d,R04,embedded\esp32_pio\src\tiny_sha3.c,410,"OQS_SHA3_shake128_x4_inc_squeeze(out0, out1, out2, out3, outlen, &ctx);",TP,Return value of cryptographic operation unchecked.
grep-cf07f0c1,R01,embedded\esp32_pio\src\tiny_sha3.c,425,"keccak_inc_absorb(state->s[1], &p, OQS_SHA3_SHAKE256_RATE, in1, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-cf480cda,R01,embedded\esp32_pio\src\tiny_sha3.c,427,"keccak_inc_absorb(state->s[2], &p, OQS_SHA3_SHAKE256_RATE, in2, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2180bd14,R01,embedded\esp32_pio\src\tiny_sha3.c,429,"keccak_inc_absorb(state->s[3], &p, OQS_SHA3_SHAKE256_RATE, in3, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-636b7618,R01,embedded\esp32_pio\src\tiny_sha3.c,437,"keccak_inc_finalize(state->s[1], &p, OQS_SHA3_SHAKE256_RATE, 0x1F);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-aacad824,R01,embedded\esp32_pio\src\tiny_sha3.c,439,"keccak_inc_finalize(state->s[2], &p, OQS_SHA3_SHAKE256_RATE, 0x1F);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-5e118ec9,R01,embedded\esp32_pio\src\tiny_sha3.c,441,"keccak_inc_finalize(state->s[3], &p, OQS_SHA3_SHAKE256_RATE, 0x1F);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-1ed545a0,R01,embedded\esp32_pio\src\tiny_sha3.c,449,"keccak_inc_squeeze(state->s[1], &p, OQS_SHA3_SHAKE256_RATE, out1, outlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-72121351,R01,embedded\esp32_pio\src\tiny_sha3.c,451,"keccak_inc_squeeze(state->s[2], &p, OQS_SHA3_SHAKE256_RATE, out2, outlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-b45ab4d0,R01,embedded\esp32_pio\src\tiny_sha3.c,453,"keccak_inc_squeeze(state->s[3], &p, OQS_SHA3_SHAKE256_RATE, out3, outlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-997fdd8e,R04,embedded\esp32_pio\src\tiny_sha3.c,459,OQS_SHA3_shake256_x4_inc_init(state);,TP,Return value of cryptographic operation unchecked.
grep-766dd897,R04,embedded\esp32_pio\src\tiny_sha3.c,467,OQS_SHA3_shake256_x4_inc_init(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-3d492d96,R04,embedded\esp32_pio\src\tiny_sha3.c,468,"OQS_SHA3_shake256_x4_inc_absorb(&ctx, in0, in1, in2, in3, inlen);",TP,Return value of cryptographic operation unchecked.
grep-1f825924,R04,embedded\esp32_pio\src\tiny_sha3.c,469,OQS_SHA3_shake256_x4_inc_finalize(&ctx);,TP,Return value of cryptographic operation unchecked.
grep-5be8f352,R04,embedded\esp32_pio\src\tiny_sha3.c,470,"OQS_SHA3_shake256_x4_inc_squeeze(out0, out1, out2, out3, outlen, &ctx);",TP,Return value of cryptographic operation unchecked.
grep-59cc8e5a,R01,embedded\esp32_pio\src\dilithium_internal\params.h,6,#define SEEDBYTES 32,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-9bd2e9a6,R01,embedded\esp32_pio\src\dilithium_internal\params.h,7,#define CRHBYTES 64,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-e7b2ef87,R01,embedded\esp32_pio\src\dilithium_internal\params.h,45,#define POLYT1_PACKEDBYTES  320,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-5723b801,R01,embedded\esp32_pio\src\dilithium_internal\params.h,46,#define POLYT0_PACKEDBYTES  416,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-23adf046,R01,embedded\esp32_pio\src\dilithium_internal\params.h,50,#define POLYZ_PACKEDBYTES   576,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-7015b10e,R01,embedded\esp32_pio\src\dilithium_internal\params.h,52,#define POLYZ_PACKEDBYTES   640,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2781b78a,R01,embedded\esp32_pio\src\dilithium_internal\params.h,56,#define POLYW1_PACKEDBYTES  192,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-5228e76b,R01,embedded\esp32_pio\src\dilithium_internal\params.h,58,#define POLYW1_PACKEDBYTES  128,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-11daa22b,R01,embedded\esp32_pio\src\dilithium_internal\params.h,62,#define POLYETA_PACKEDBYTES  96,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-5797f71f,R01,embedded\esp32_pio\src\dilithium_internal\params.h,64,#define POLYETA_PACKEDBYTES 128,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-e00a78ba,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,538,uint8_t t[8];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-b0260606,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,544,t[1] = ETA - a->coeffs[8*i+1];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-4398ffcd,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,545,t[2] = ETA - a->coeffs[8*i+2];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ec81165a,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,546,t[3] = ETA - a->coeffs[8*i+3];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-b4c1db6e,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,547,t[4] = ETA - a->coeffs[8*i+4];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-46c8b531,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,548,t[5] = ETA - a->coeffs[8*i+5];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-fe052a69,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,549,t[6] = ETA - a->coeffs[8*i+6];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-384dc5f5,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,550,t[7] = ETA - a->coeffs[8*i+7];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ab8e086f,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,552,r[3*i+0]  = (t[0] >> 0) | (t[1] << 3) | (t[2] << 6);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ed2d94ba,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,553,r[3*i+1]  = (t[2] >> 2) | (t[3] << 1) | (t[4] << 4) | (t[5] << 7);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-bd05102a,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,554,r[3*i+2]  = (t[5] >> 1) | (t[6] << 2) | (t[7] << 5);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2ec59827,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,559,t[1] = ETA - a->coeffs[2*i+1];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-78f6a162,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,560,r[i] = t[0] | (t[1] << 4);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-5d852879,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,670,uint32_t t[8];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-85f3ee2c,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,675,t[1] = (1 << (D-1)) - a->coeffs[8*i+1];,TP,Small buffer/macro identified for potentially asymmetric key material.
