candidate_id,repo,commit_sha,commit_url,taxonomy_label,expected_pqcfirm_scope,validation_run_status,parent_revision,changed_code_files_count,findings_on_prefixed_changed_files,rules_detected,expected_rule_hit,any_pqcfirm_hit,notes,expected_rule_from_template,triage_comment
HF006,open-quantum-safe/liboqs,0807ecf9af199442b14d8dd81cd22c6cc3e21733,https://github.com/open-quantum-safe/liboqs/commit/0807ecf9af199442b14d8dd81cd22c6cc3e21733,D5,R06,completed,c366e19805387d70483c460b77afb10b7c9c9269,88,18,R04;R05,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF007,open-quantum-safe/liboqs,2c6c9173e844bdfec3a6f673ee05af30525bbfba,https://github.com/open-quantum-safe/liboqs/commit/2c6c9173e844bdfec3a6f673ee05af30525bbfba,D3,R03,completed,2297d7a56d4b51361c8f51e1008f83853c68a449,0,0,,False,False,Automated evidence only; manual review required.,R03,"Stack overflow / exhaustion fix during PQC operation, maps to R03."
HF014,aws/s2n-tls,9d8e90a3c1eaa4f001e9cdec07ff72732a994a3e,https://github.com/aws/s2n-tls/commit/9d8e90a3c1eaa4f001e9cdec07ff72732a994a3e,D2,R02/R05,completed,e178771db0da13c10b18f25b7e3015b185075beb,26,19,R01,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF015,open-quantum-safe/liboqs,1ae9cf6fe53b379c5e7cf40193c844f86a747810,https://github.com/open-quantum-safe/liboqs/commit/1ae9cf6fe53b379c5e7cf40193c844f86a747810,D2,R02/R05,completed,3cb781fd4737c900ad755ee0bb9e1949d0f68955,4,20,R04,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF017,openssl/openssl,aeea7dfaff4449f13a335ca2a3fbc87b8a4417bf,https://github.com/openssl/openssl/commit/aeea7dfaff4449f13a335ca2a3fbc87b8a4417bf,D2,R02/R05,completed,7fb28b9cd05ba89cbbe038dfa85804fe22bc146a,2,7,R01,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF019,openssl/openssl,95d764a0440edcf88737061f8a7bd829ea329642,https://github.com/openssl/openssl/commit/95d764a0440edcf88737061f8a7bd829ea329642,D2,R02/R05,completed,e04a604d0dbc6a50c48e21a4658afc2a6fb2d445,1,8,R01;R03;R04,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF023,aws/s2n-tls,40350a35d7333b8d3006dad0a5cfd41d3d0a7e78,https://github.com/aws/s2n-tls/commit/40350a35d7333b8d3006dad0a5cfd41d3d0a7e78,D2,R02/R05,completed,1fb1c07b4a470f6b23d386e6d0fd2c3cb997072e,27,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF025,wolfSSL/wolfssl,b180a279b0b680fd4b4852d0695e9ee321fbac63,https://github.com/wolfSSL/wolfssl/commit/b180a279b0b680fd4b4852d0695e9ee321fbac63,D1,R01,completed,b3f08f33b845d2d6bb523f0f38d191ca25635e1c,2,15,R03;R04;R05,False,True,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF034,openssl/openssl,0c1c243a80eb2641058f9edc0f1a6c947d8d9205,https://github.com/openssl/openssl/commit/0c1c243a80eb2641058f9edc0f1a6c947d8d9205,D1,R01,completed,4b6e6554b290842314e2fe4d5e56f5290bb4b8df,3,8,R02,False,True,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF037,aws/s2n-tls,e85f69f9b2a84942a4edb7f27f25691a69f8e353,https://github.com/aws/s2n-tls/commit/e85f69f9b2a84942a4edb7f27f25691a69f8e353,D5,R06,completed,25fb1fc42173f1cb14392795fea4d2ab12359c25,24,38,R01,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF038,open-quantum-safe/liboqs,a55b12eb25740921cd9197e314f95217c3c54bf5,https://github.com/open-quantum-safe/liboqs/commit/a55b12eb25740921cd9197e314f95217c3c54bf5,D1,R01,completed,2991696b4c930359b0f57f7f2d654198bf0d9d1f,0,0,,False,False,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF039,open-quantum-safe/liboqs,e0de251b6b43914f0232e9f1365ff53784603a21,https://github.com/open-quantum-safe/liboqs/commit/e0de251b6b43914f0232e9f1365ff53784603a21,D7,R04/R07,completed,e8b2e779c91a2da9d0ed45a2bdd4adbbf3a97d10,0,0,,False,False,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF040,openssl/openssl,0ba71c0a24b185780a96b2c257653f4dcd3446c8,https://github.com/openssl/openssl/commit/0ba71c0a24b185780a96b2c257653f4dcd3446c8,D5,R06,completed,10bd6fa8ca93b4cf53f005f110c827ed923c89a4,1,45,R01;R02,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF043,open-quantum-safe/oqs-provider,4b7f54510f2f355613720ec7fe45f3526dc9780d,https://github.com/open-quantum-safe/oqs-provider/commit/4b7f54510f2f355613720ec7fe45f3526dc9780d,D7,R04/R07,completed,8f20ab662e6dfc0e6e8f8c4871aa0fb870318e80,0,0,,False,False,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF046,openssl/openssl,2fb4cfe143daa4644cf10b9f1ed3cdd940c5e1f8,https://github.com/openssl/openssl/commit/2fb4cfe143daa4644cf10b9f1ed3cdd940c5e1f8,D3,R03,completed,b2762763e9015e778eff0d303a38f0b6082c8591,0,0,,False,False,Automated evidence only; manual review required.,R03,"Stack overflow / exhaustion fix during PQC operation, maps to R03."
HF047,openssl/openssl,8f74d8cee3630ede41a4dfa1a85c469d2200c58d,https://github.com/openssl/openssl/commit/8f74d8cee3630ede41a4dfa1a85c469d2200c58d,D7,R04/R07,completed,8d6fd6142b0b55ce029df6d7b63dda5f7cb8ce54,1,8,R02,False,True,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF050,aws/s2n-tls,cf1692b21eb65890c91c6bd6dc5fdd0135d89fb5,https://github.com/aws/s2n-tls/commit/cf1692b21eb65890c91c6bd6dc5fdd0135d89fb5,D7,R04/R07,completed,b011d5cb0e937441aad2f6808ae35302aab2f062,29,23,R01,False,True,Automated evidence only; manual review required.,R04,"Error handling gaps on PQC return paths, maps to R04."
HF053,openssl/openssl,4d3d1c9f014dfdef1b49823e3704bc2845ae73fe,https://github.com/openssl/openssl/commit/4d3d1c9f014dfdef1b49823e3704bc2845ae73fe,D1,R01,completed,0f20676e992f00b0335e2008f504afaa00bb8e40,1,1,R03,False,True,Automated evidence only; manual review required.,R01,Taxonomy maps to D1 buffer mismatch; expected rule is R01.
HF055,openssl/openssl,d6fcaa5658bca18474a5e55d7c4807efcc242173,https://github.com/openssl/openssl/commit/d6fcaa5658bca18474a5e55d7c4807efcc242173,D5,R06,completed,d2a71ed94e82f96a589fbc017d525d415b427337,1,6,R01;R03,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF062,wolfSSL/wolfssl,403fcc5a4b4d37459de01ba4b162387b1338508d,https://github.com/wolfSSL/wolfssl/commit/403fcc5a4b4d37459de01ba4b162387b1338508d,D2,R02/R05,completed,6500444b26cd0d9dc7cb2f38e6ecceed571270a5,2,34,R01,False,True,Automated evidence only; manual review required.,R02,"Rigid algorithm selection fix, maps to R02."
HF063,open-quantum-safe/liboqs,be678118a589af9a28b57aec7ea2609d6d0fa53d,https://github.com/open-quantum-safe/liboqs/commit/be678118a589af9a28b57aec7ea2609d6d0fa53d,D2,R02/R05,completed,6c20a7ddeba0cf7db7d59473789c11156c94b7e3,150,94,R01;R03;R04,False,True,Automated evidence only; manual review required.,R02,"Rigid algorithm selection fix, maps to R02."
HF067,open-quantum-safe/liboqs,507d03009cecc30a4aed78279d08ab7f8de813f8,https://github.com/open-quantum-safe/liboqs/commit/507d03009cecc30a4aed78279d08ab7f8de813f8,D1,R01,completed,2ee908df244245c466e8e57f7aad5b07d3da7bb6,2,56,R04,False,True,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF069,open-quantum-safe/oqs-provider,71b6042d61126bfe7c5ab6fa057e56ffdfd43f59,https://github.com/open-quantum-safe/oqs-provider/commit/71b6042d61126bfe7c5ab6fa057e56ffdfd43f59,D3,R03,completed,0c91d0919307daddf9c77b2c514c5c4a8915b699,1,0,,False,False,Automated evidence only; manual review required.,R03,"Stack overflow / exhaustion fix during PQC operation, maps to R03."
HF079,openssl/openssl,1a1f5687989fbdea5be55132df09fab7145dd072,https://github.com/openssl/openssl/commit/1a1f5687989fbdea5be55132df09fab7145dd072,D2,R02/R05,completed,af87fcd2596ee8687266c41a77e8ab67cb48cd65,1,2,R03,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF083,open-quantum-safe/liboqs,59bf831b47fb43124f816d594ec801f729b08053,https://github.com/open-quantum-safe/liboqs/commit/59bf831b47fb43124f816d594ec801f729b08053,D5,R06,completed,f58b45a08744b7429a7355d5cb96f0f22ed213cd,208,1,R04,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF084,openssl/openssl,a4465bf694ea4505c544a96f2cfb329d86e8b711,https://github.com/openssl/openssl/commit/a4465bf694ea4505c544a96f2cfb329d86e8b711,D5,R06,completed,ff20db213d5acb0961d5c05011d877073088133f,2,11,R02;R03,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF085,openssl/openssl,1f5ac721e32805a475235f189dbdb784812f2ca6,https://github.com/openssl/openssl/commit/1f5ac721e32805a475235f189dbdb784812f2ca6,D5,R06,completed,94491369f2c354d624e0b302124e28cfa6c108ce,1,9,R01;R02;R04,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF097,wolfSSL/wolfssl,b272f784ecfb3a33cb0c31e8bb38b359dd8ae469,https://github.com/wolfSSL/wolfssl/commit/b272f784ecfb3a33cb0c31e8bb38b359dd8ae469,D1,R01,completed,e78752f3b29b609fc5e452df8479fa9530dfb6c5,1,9,R04,False,True,Automated evidence only; manual review required.,R01,Taxonomy maps to D1 buffer mismatch; expected rule is R01.
HF099,wolfSSL/wolfssl,4ff6f5f10c0ef1bee08b007f369ca60970838561,https://github.com/wolfSSL/wolfssl/commit/4ff6f5f10c0ef1bee08b007f369ca60970838561,D1,R01,completed,02cba858560927c42beb28e29b788bdcad16e2b4,0,0,,False,False,Automated evidence only; manual review required.,R01,Taxonomy maps to D1 buffer mismatch; expected rule is R01.
HF104,aws/s2n-tls,c0d3fb8a1a01b62a92c99329fa06a3d548003354,https://github.com/aws/s2n-tls/commit/c0d3fb8a1a01b62a92c99329fa06a3d548003354,D2,R02/R05,completed,007d527ba48f964ae901fa782c96132ad9743bd2,1,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF106,open-quantum-safe/liboqs,38757741fc9461d963d3d3f9db5e983b31e63b24,https://github.com/open-quantum-safe/liboqs/commit/38757741fc9461d963d3d3f9db5e983b31e63b24,D2,R02/R05,completed,aed3059e31822215d03000b4329ceac1a518ca91,25,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF107,wolfSSL/wolfssl,3c9423257fca52964667a9f8a0efc316d164b645,https://github.com/wolfSSL/wolfssl/commit/3c9423257fca52964667a9f8a0efc316d164b645,D1,R01,completed,218ddb449ebb19cde61638bf7212735e38e41913,1,6,R03;R04,False,True,Automated evidence only; manual review required.,R01,Taxonomy maps to D1 buffer mismatch; expected rule is R01.
HF109,openssl/openssl,eaba675c4b300e18aa4a200a75ff9566653afda8,https://github.com/openssl/openssl/commit/eaba675c4b300e18aa4a200a75ff9566653afda8,D7,R04/R07,completed,56a791209c1e63222b1680151709fabd86948548,0,0,,False,False,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF111,open-quantum-safe/liboqs,429c98ee7e4aae548cca2a97265ca4337600cb59,https://github.com/open-quantum-safe/liboqs/commit/429c98ee7e4aae548cca2a97265ca4337600cb59,D3,R03,completed,9c68f3d7e4c883cdab772684bc855e3a4e488cf7,737,67,R01;R04,False,True,Automated evidence only; manual review required.,R03,"Stack overflow / exhaustion fix during PQC operation, maps to R03."
HF116,open-quantum-safe/oqs-provider,080c3dd2703a6b26f0aca12b265346a15f87c43e,https://github.com/open-quantum-safe/oqs-provider/commit/080c3dd2703a6b26f0aca12b265346a15f87c43e,D3,R03,completed,5250576fc6384af40c3d0d8b04ee5d9675ce7721,0,0,,False,False,Automated evidence only; manual review required.,R03,"Stack overflow / exhaustion fix during PQC operation, maps to R03."
HF120,open-quantum-safe/liboqs,88d2a75771aec926f2754f1753d8b57350dd2337,https://github.com/open-quantum-safe/liboqs/commit/88d2a75771aec926f2754f1753d8b57350dd2337,D2,R02/R05,completed,9b1984d4e482f9f121257f7abffb8e8113126036,2,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF121,open-quantum-safe/liboqs,1385ddc8ffc4330482f7ed183cce2459770698da,https://github.com/open-quantum-safe/liboqs/commit/1385ddc8ffc4330482f7ed183cce2459770698da,D5,R06,completed,f55adf997c11a5719b40206dda4c7bcd0024acfc,7,33,R02;R03;R04,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF129,wolfSSL/wolfssl,5ff2b55345aef1bb3e1e1b843e99b4153690d512,https://github.com/wolfSSL/wolfssl/commit/5ff2b55345aef1bb3e1e1b843e99b4153690d512,D5,R06,completed,e766b8f0afde58b965473df119e92ff9374b229e,1,138,R01;R03;R04;R05;R07,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF136,wolfSSL/wolfssl,75d63071df31143ccc25176535a67518cda214ec,https://github.com/wolfSSL/wolfssl/commit/75d63071df31143ccc25176535a67518cda214ec,D5,R06,completed,491e70be7a2f30bc74084de9c7675ea58e8f92bb,1,589,R01;R02;R04;R07,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF137,open-quantum-safe/liboqs,306140ebb577180e7bc704714e82949f7b9d33cf,https://github.com/open-quantum-safe/liboqs/commit/306140ebb577180e7bc704714e82949f7b9d33cf,D7,R04/R07,completed,a7bfc8d6ac515a1322d500035a6875e50fa39901,3,6,R03,False,True,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF139,open-quantum-safe/oqs-provider,0e79d126501547a511d9df585285a92c169ca03d,https://github.com/open-quantum-safe/oqs-provider/commit/0e79d126501547a511d9df585285a92c169ca03d,D5,R06,completed,cc3895f208730abfe1efc15f7c3ff4358ac6e4c0,0,0,,False,False,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF141,open-quantum-safe/liboqs,a822f0e62d4492afc2fd9d9d86308bb6abec351d,https://github.com/open-quantum-safe/liboqs/commit/a822f0e62d4492afc2fd9d9d86308bb6abec351d,D2,R02/R05,completed,d9fb4e0e81ccd0a0972b38743404d982fe0a90c1,138,258,R01;R04,False,True,Automated evidence only; manual review required.,R02,"Rigid algorithm selection fix, maps to R02."
HF142,open-quantum-safe/liboqs,211aa22f9414b298da69385d905657a2b406afd1,https://github.com/open-quantum-safe/liboqs/commit/211aa22f9414b298da69385d905657a2b406afd1,D5,R06,completed,b1e2b448883ceb9befbd3ae3800eff76045cd259,12,18,R01,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF144,open-quantum-safe/liboqs,f5df1c159f62f57265924cc4e86ebc4349e7cc69,https://github.com/open-quantum-safe/liboqs/commit/f5df1c159f62f57265924cc4e86ebc4349e7cc69,D2,R02/R05,completed,7f3d1b9e532f8fcd80dc8d342d2dfcd76b21faf1,34,59,R01;R04;R06,False,True,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF147,aws/s2n-tls,8b0602a33ca735664b71113c389263d73d4db875,https://github.com/aws/s2n-tls/commit/8b0602a33ca735664b71113c389263d73d4db875,D7,R04/R07,completed,efe8bd425153f8512cd70fd752872223eb545135,4,6,R01;R02,False,True,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF148,wolfSSL/wolfssl,56c20aeda0ddf5427f9e1b3112fec326db4a4401,https://github.com/wolfSSL/wolfssl/commit/56c20aeda0ddf5427f9e1b3112fec326db4a4401,D1,R01,completed,5959aa2b58b2c419b104ee998c116808b134a7f7,0,0,,False,False,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF149,open-quantum-safe/liboqs,e8b2e779c91a2da9d0ed45a2bdd4adbbf3a97d10,https://github.com/open-quantum-safe/liboqs/commit/e8b2e779c91a2da9d0ed45a2bdd4adbbf3a97d10,D1,R01,completed,04ab195f104aaabe5322bacc526478f5d584920c,1,8,R02;R04,False,True,Automated evidence only; manual review required.,R01,Taxonomy maps to D1 buffer mismatch; expected rule is R01.
HF156,wolfSSL/wolfssl,607d7489bc6fe747e7001f05b18b37131a56c8b8,https://github.com/wolfSSL/wolfssl/commit/607d7489bc6fe747e7001f05b18b37131a56c8b8,D5,R06,completed,d0085834cd71d19af2026e5cbeb559fa9449a862,4,1213,R01;R02;R03;R04;R05;R07,False,True,Automated evidence only; manual review required.,R06,"Unsafe heap allocation or memory limit checks, maps to R06."
HF159,openssl/openssl,f440e816d07f62f2ab9640184556d4e1b075ab29,https://github.com/openssl/openssl/commit/f440e816d07f62f2ab9640184556d4e1b075ab29,D2,R02/R05,completed,096fde92e79d7d4b276b03e5b331f39b5e32de3d,1,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF165,open-quantum-safe/liboqs,bac716cc91c53529e3fad88e92ff9dfd19c04577,https://github.com/open-quantum-safe/liboqs/commit/bac716cc91c53529e3fad88e92ff9dfd19c04577,D7,R04/R07,completed,b7f35d76c5504d8e8d4f9f99616c022c7872850e,0,0,,False,False,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF171,open-quantum-safe/liboqs,65a8db3ea86b223f325ca622f8fe9f13d6971a57,https://github.com/open-quantum-safe/liboqs/commit/65a8db3ea86b223f325ca622f8fe9f13d6971a57,D2,R02/R05,completed,46a8976399db885bce84fa7631165f64d93518d2,2,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF172,open-quantum-safe/liboqs,cd8a5d9cc63fef5d44a107e093904565f77009b3,https://github.com/open-quantum-safe/liboqs/commit/cd8a5d9cc63fef5d44a107e093904565f77009b3,D1,R01,completed,c343814f9de99642fb2872a8069a46a4226d7c5f,1,0,,False,False,Automated evidence only; manual review required.,R01,"Buffer/key size mismatch fix for post-quantum parameters, fits R01."
HF173,openssl/openssl,1cc92989929226f5a58ed274d7ccf8872106d8fa,https://github.com/openssl/openssl/commit/1cc92989929226f5a58ed274d7ccf8872106d8fa,D7,R04/R07,completed,7dd4b69dde2ebe94b72595a171993186169a4525,0,0,,False,False,Automated evidence only; manual review required.,R04,"Error handling gaps on PQC return paths, maps to R04."
HF174,openssl/openssl,56a791209c1e63222b1680151709fabd86948548,https://github.com/openssl/openssl/commit/56a791209c1e63222b1680151709fabd86948548,D7,R04/R07,completed,811f68ffe2cb97ab997c11b0429236135eb437c0,0,0,,False,False,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF180,open-quantum-safe/liboqs,d8509387febc9e32466c86aab544d225d60c8e3c,https://github.com/open-quantum-safe/liboqs/commit/d8509387febc9e32466c86aab544d225d60c8e3c,D2,R02/R05,completed,69d2333c6a8e88398a5b9f8fc7e069403863f203,1,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
HF182,wolfSSL/wolfssl,496b0911be142dd1b2edf5834aa5f7075d93491d,https://github.com/wolfSSL/wolfssl/commit/496b0911be142dd1b2edf5834aa5f7075d93491d,D7,R04/R07,completed,0bac2c2b34ad236082c182a9c73f445b46412b25,0,0,,False,False,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF185,openssl/openssl,64a27c24d8f6964706ef25465ab5b83fba45766e,https://github.com/openssl/openssl/commit/64a27c24d8f6964706ef25465ab5b83fba45766e,D7,R04/R07,completed,1eb5ffcdc8a270b6d49b6b6f5097ebe61f66f648,4,2,R01;R03,False,True,Automated evidence only; manual review required.,R04,"Missing return code check on PQC function call, maps to R04/R07."
HF200,openssl/openssl,c0cf783178f88601a40e86b8db4d44708ad3e131,https://github.com/openssl/openssl/commit/c0cf783178f88601a40e86b8db4d44708ad3e131,D2,R02/R05,completed,4ca80d39412bf1fe2da6ef7691d1263fa8b23cde,1,0,,False,False,Automated evidence only; manual review required.,R05,"Algorithm-specific API call / rigid selection fix, maps to R05/R02."
