finding_id,rule,file,line,message,suggested_triage,rationale,requires_human_review
mbedtls_000,R01,embedded\mbedtls\configs\config-ccm-psk-dtls1_2.h,61,Hardcoded key/buffer size macro 'MBEDTLS_PSK_MAX_LEN' value (16) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_001,R01,embedded\mbedtls\configs\crypto-config-suite-b.h,37,Hardcoded key/buffer size macro 'PSA_WANT_KEY_TYPE_AES' value (1) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_002,R01,embedded\mbedtls\configs\crypto-config-thread.h,31,Hardcoded key/buffer size macro 'PSA_WANT_ALG_HMAC' value (1) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_003,R01,embedded\mbedtls\include\mbedtls\ssl.h,468,Hardcoded key/buffer size macro 'MBEDTLS_SSL_HASH_MD5' value (1) is below PQC minimum requirements.,requires_manual_inspection,Cannot classify from finding metadata alone; inspect source context.,True
mbedtls_004,R01,embedded\mbedtls\library\ssl_cookie.c,47,Hardcoded key/buffer size macro 'COOKIE_HMAC_LEN' value (28) is below PQC minimum requirements.,safe_to_ignore,Hardcoded size appears to be a symmetric/hash/configuration constant rather than an asymmetric PQC key/signature buffer.,False
mbedtls_005,R01,embedded\mbedtls\library\ssl_misc.h,72,Hardcoded key/buffer size macro 'MBEDTLS_SSL_EXT_ID_SIG_ALG' value (5) is below PQC minimum requirements.,requires_manual_inspection,Cannot classify from finding metadata alone; inspect source context.,True
mbedtls_006,R01,embedded\mbedtls\library\ssl_misc.h,88,Hardcoded key/buffer size macro 'MBEDTLS_SSL_EXT_ID_SIG_ALG_CERT' value (21) is below PQC minimum requirements.,requires_manual_inspection,Cannot classify from finding metadata alone; inspect source context.,True
mbedtls_007,R01,embedded\mbedtls\tests\include\test\ssl_helpers.h,189,Hardcoded key/buffer size macro 'MBEDTLS_MOCK_SOCKET_CONNECTED' value (1) is below PQC minimum requirements.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_008,R02,embedded\mbedtls\library\mps_reader.c,302,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_009,R02,embedded\mbedtls\library\ssl_client.c,253,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_010,R02,embedded\mbedtls\library\ssl_tls12_client.c,1912,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_011,R02,embedded\mbedtls\library\ssl_tls12_client.c,2077,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_012,R02,embedded\mbedtls\library\ssl_tls12_server.c,1158,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_013,R02,embedded\mbedtls\library\ssl_tls13_generic.c,860,Algorithm switch statement contains classical crypto but lacks post-quantum cryptography cases.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_014,R02,embedded\mbedtls\library\x509_crt.c,1726,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,requires_manual_inspection,Algorithm-selection warning needs source-context confirmation.,True
mbedtls_015,R02,embedded\mbedtls\programs\ssl\ssl_server2.c,2648,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_016,R04,embedded\mbedtls\library\debug.c,181,Return value of cryptographic function 'mbedtls_snprintf' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_017,R04,embedded\mbedtls\library\mps_trace.c,95,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_018,R04,embedded\mbedtls\library\pkcs7.c,689,Return value of cryptographic function 'mbedtls_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_019,R04,embedded\mbedtls\library\pkcs7.c,761,Return value of cryptographic function 'pkcs7_free_signer_info' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_020,R04,embedded\mbedtls\library\ssl_misc.h,520,Return value of cryptographic function 'mbedtls_ssl_set_chk_buf_ptr_fail_args' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_021,R04,embedded\mbedtls\library\ssl_msg.c,168,Return value of cryptographic function 'mbedtls_platform_zeroize' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_022,R04,embedded\mbedtls\library\ssl_msg.c,780,Return value of cryptographic function 'mbedtls_xor' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_023,R04,embedded\mbedtls\library\ssl_msg.c,1767,Return value of cryptographic function 'mbedtls_ct_memcpy_offset' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_024,R04,embedded\mbedtls\library\ssl_msg.c,5471,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_025,R04,embedded\mbedtls\library\ssl_tls.c,256,Return value of cryptographic function 'mbedtls_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_026,R04,embedded\mbedtls\library\ssl_tls.c,1219,Return value of cryptographic function 'mbedtls_ssl_reset_in_pointers' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_027,R04,embedded\mbedtls\library\ssl_tls.c,1220,Return value of cryptographic function 'mbedtls_ssl_reset_out_pointers' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_028,R04,embedded\mbedtls\library\ssl_tls.c,1392,Return value of cryptographic function 'mbedtls_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_029,R04,embedded\mbedtls\library\ssl_tls.c,3298,Return value of cryptographic function 'mbedtls_x509_crt_init' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_030,R04,embedded\mbedtls\library\ssl_tls.c,4463,Return value of cryptographic function 'mbedtls_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_031,R04,embedded\mbedtls\library\ssl_tls.c,4943,Return value of cryptographic function 'mbedtls_ssl_session_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_032,R04,embedded\mbedtls\library\ssl_tls.c,5138,Return value of cryptographic function 'mbedtls_ssl_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_033,R04,embedded\mbedtls\library\ssl_tls.c,5447,Return value of cryptographic function 'mbedtls_ssl_conf_endpoint' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_034,R04,embedded\mbedtls\library\ssl_tls.c,6508,Return value of cryptographic function 'mbedtls_platform_zeroize' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_035,R04,embedded\mbedtls\library\ssl_tls.c,7044,Return value of cryptographic function 'mbedtls_pk_init' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_036,R04,embedded\mbedtls\library\ssl_tls.c,7421,Return value of cryptographic function 'mbedtls_ssl_handshake_increment_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_037,R04,embedded\mbedtls\library\ssl_tls.c,7556,Return value of cryptographic function 'mbedtls_ssl_handshake_increment_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_038,R04,embedded\mbedtls\library\ssl_tls12_client.c,725,Return value of cryptographic function 'mbedtls_ssl_send_alert_message' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_039,R04,embedded\mbedtls\library\ssl_tls12_client.c,750,Return value of cryptographic function 'mbedtls_ssl_send_alert_message' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_040,R04,embedded\mbedtls\library\ssl_tls12_client.c,904,Return value of cryptographic function 'mbedtls_ssl_send_alert_message' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_041,R04,embedded\mbedtls\library\ssl_tls12_client.c,1316,Return value of cryptographic function 'mbedtls_ssl_optimize_checksum' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_042,R04,embedded\mbedtls\library\ssl_tls12_client.c,1892,Return value of cryptographic function 'mbedtls_ssl_send_alert_message' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_043,R04,embedded\mbedtls\library\ssl_tls12_client.c,2016,Return value of cryptographic function 'mbedtls_ssl_send_alert_message' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_044,R04,embedded\mbedtls\library\ssl_tls12_client.c,2897,Return value of cryptographic function 'mbedtls_zeroize_and_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_045,R04,embedded\mbedtls\library\ssl_tls12_client.c,3036,Return value of cryptographic function 'mbedtls_ssl_handshake_wrapup' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_046,R04,embedded\mbedtls\library\ssl_tls12_server.c,495,Return value of cryptographic function 'mbedtls_platform_zeroize' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_047,R04,embedded\mbedtls\library\ssl_tls12_server.c,2244,Return value of cryptographic function 'mbedtls_ssl_handshake_increment_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_048,R04,embedded\mbedtls\library\ssl_tls12_server.c,3196,Return value of cryptographic function 'mbedtls_ssl_handshake_increment_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_049,R04,embedded\mbedtls\library\ssl_tls13_client.c,1962,Return value of cryptographic function 'mbedtls_ssl_session_reset_msg_layer' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_050,R04,embedded\mbedtls\library\ssl_tls13_client.c,2584,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_051,R04,embedded\mbedtls\library\ssl_tls13_client.c,2618,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_052,R04,embedded\mbedtls\library\ssl_tls13_client.c,3058,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_053,R04,embedded\mbedtls\library\ssl_tls13_generic.c,459,Return value of cryptographic function 'mbedtls_x509_crt_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_054,R04,embedded\mbedtls\library\ssl_tls13_keys.c,1690,Return value of cryptographic function 'mbedtls_platform_zeroize' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_055,R04,embedded\mbedtls\library\ssl_tls13_keys.c,1855,Return value of cryptographic function 'mbedtls_platform_zeroize' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_056,R04,embedded\mbedtls\library\ssl_tls13_server.c,438,Return value of cryptographic function 'mbedtls_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_057,R04,embedded\mbedtls\library\ssl_tls13_server.c,2866,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_058,R04,embedded\mbedtls\library\ssl_tls13_server.c,3094,Return value of cryptographic function 'mbedtls_ssl_tls13_handshake_wrapup' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_059,R04,embedded\mbedtls\library\ssl_tls13_server.c,3109,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_060,R04,embedded\mbedtls\library\ssl_tls13_server.c,3432,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_061,R04,embedded\mbedtls\library\ssl_tls13_server.c,3511,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_062,R04,embedded\mbedtls\library\ssl_tls13_server.c,3547,Return value of cryptographic function 'mbedtls_ssl_handshake_set_state' is unchecked.,review_recommended,Unchecked return is on a cryptographic/protocol-relevant path; should be checked or justified during migration.,True
mbedtls_063,R04,embedded\mbedtls\library\x509_create.c,443,Return value of cryptographic function 'mbedtls_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_064,R04,embedded\mbedtls\library\x509_create.c,556,Return value of cryptographic function 'mbedtls_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_065,R04,embedded\mbedtls\library\x509_crl.c,540,Return value of cryptographic function 'mbedtls_pem_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_066,R04,embedded\mbedtls\library\x509_crt.c,3211,Return value of cryptographic function 'mbedtls_asn1_free_named_data_list_shallow' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_067,R04,embedded\mbedtls\library\x509_csr.c,284,Return value of cryptographic function 'mbedtls_x509_csr_init' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_068,R04,embedded\mbedtls\library\x509_csr.c,490,Return value of cryptographic function 'mbedtls_pem_free' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_069,R04,embedded\mbedtls\library\x509write_crt.c,91,Return value of cryptographic function 'mbedtls_asn1_free_named_data_list' is unchecked.,safe_to_ignore,Call appears to be debug/formatting/init/free/cleanup-style; unchecked result is unlikely to be a PQC security bypass.,False
mbedtls_070,R04,embedded\mbedtls\programs\fuzz\fuzz_dtlsserver.c,43,Return value of cryptographic function 'mbedtls_pk_init' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_071,R04,embedded\mbedtls\programs\fuzz\fuzz_dtlsserver.c,93,Return value of cryptographic function 'mbedtls_ssl_conf_dtls_cookies' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_072,R04,embedded\mbedtls\programs\ssl\dtls_client.c,212,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_073,R04,embedded\mbedtls\programs\ssl\dtls_client.c,215,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_074,R04,embedded\mbedtls\programs\ssl\dtls_client.c,303,Return value of cryptographic function 'mbedtls_net_free' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_075,R04,embedded\mbedtls\programs\ssl\dtls_client.c,307,Return value of cryptographic function 'mbedtls_psa_crypto_free' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_076,R04,embedded\mbedtls\programs\ssl\dtls_server.c,110,Return value of cryptographic function 'mbedtls_debug_set_threshold' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_077,R04,embedded\mbedtls\programs\ssl\dtls_server.c,205,Return value of cryptographic function 'mbedtls_ssl_conf_dtls_cookies' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_078,R04,embedded\mbedtls\programs\ssl\dtls_server.c,367,Return value of cryptographic function 'mbedtls_net_free' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_079,R04,embedded\mbedtls\programs\ssl\dtls_server.c,373,Return value of cryptographic function 'mbedtls_ssl_cookie_free' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_080,R04,embedded\mbedtls\programs\ssl\mini_client.c,247,Return value of cryptographic function 'mbedtls_psa_crypto_free' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_081,R04,embedded\mbedtls\programs\ssl\mini_client.c,249,Return value of cryptographic function 'mbedtls_exit' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_082,R04,embedded\mbedtls\programs\ssl\ssl_client1.c,17,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_083,R04,embedded\mbedtls\programs\ssl\ssl_client1.c,136,Return value of cryptographic function 'mbedtls_ssl_conf_ca_chain' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_084,R04,embedded\mbedtls\programs\ssl\ssl_client1.c,210,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_085,R04,embedded\mbedtls\programs\ssl\ssl_client1.c,240,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_086,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,1004,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_087,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,1724,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_088,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,1765,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_089,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,1866,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_090,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,2376,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_091,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,2847,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_092,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,2988,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_093,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,3081,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_094,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,3141,Return value of cryptographic function 'mbedtls_ssl_config_free' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_095,R04,embedded\mbedtls\programs\ssl\ssl_client2.c,3217,Return value of cryptographic function 'mbedtls_printf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_096,R04,embedded\mbedtls\programs\ssl\ssl_fork_server.c,57,Return value of cryptographic function 'mbedtls_fprintf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
mbedtls_097,R04,embedded\mbedtls\programs\ssl\ssl_fork_server.c,82,Return value of cryptographic function 'mbedtls_fprintf' is unchecked.,safe_to_ignore,Finding is in a test/example/program directory; not treated as production migration evidence in this audit.,False
